beta,problem,run,IGD,IGDX
1.0,MMF1,1,0.002668283083947758,0.03926078043820694
1.0,MMF1,5,0.0027896073764100233,0.037206397390374714
1.0,MMF1,0,0.002887926673121219,0.037917937822731826
1.0,MMF1,4,0.003275517855359622,0.03859290559812565
1.0,MMF1,6,0.002840046442616659,0.03729847051894209
1.0,MMF1,7,0.00297893058770266,0.041678349801492647
1.0,MMF1,8,0.003058664888544631,0.03734998921697148
1.0,MMF1,9,0.002980513618171376,0.04079052166856575
1.0,MMF1,10,0.002802223681480549,0.03859648886737412
1.0,MMF1,11,0.0028399580759762024,0.041269116365719324
1.0,MMF1,16,0.0029885432756700443,0.0364497903010847
1.0,MMF1,19,0.003023217206529602,0.040633484671492553
1.0,MMF1,12,0.0029107496802647744,0.03947770029372978
1.0,MMF1,13,0.0029028025969054195,0.03790946519917218
1.0,MMF1,14,0.003053249429164839,0.038782125849309165
1.0,MMF1,20,0.002696036468879358,0.039097171005568504
1.0,MMF1,17,0.0030661856873802807,0.0408680426619531
1.0,MMF1,15,0.0032532784988384264,0.042346006435473316
1.0,MMF1,21,0.002662957614541182,0.04050299385537007
1.0,MMF1,18,0.002726926364182061,0.03832107909936504
1.0,MMF1,22,0.0026396288158089137,0.03789055947167792
1.0,MMF1,23,0.0028407018028221973,0.039671135696460906
1.0,MMF1,24,0.003319521078099969,0.03904447997214438
1.0,MMF1,26,0.0030907960735983434,0.03884337215088942
1.0,MMF2,5,0.0030092163709213218,0.02052459942813793
1.0,MMF1,27,0.003059180131178034,0.04010028391349641
1.0,MMF2,2,0.002956503938855963,0.006673848503666019
1.0,MMF2,1,0.0033120637638481515,0.008503230440582089
1.0,MMF1,25,0.0026887129096978815,0.03918917141439814
1.0,MMF1,28,0.0029945015024524795,0.03767364168229416
1.0,MMF2,0,0.0032259623516996978,0.006505925796594679
1.0,MMF1,29,0.002600921114744584,0.037921181105110946
1.0,MMF2,3,0.002846773339832013,0.04138837864027025
1.0,MMF2,4,0.0029235047704753592,0.0162295598125519
1.0,MMF2,7,0.0030412415651251898,0.006834508108558444
1.0,MMF2,6,0.003055728691324472,0.007824925258858684
1.0,MMF2,11,0.00308860419234943,0.008027720722399479
1.0,MMF2,8,0.0030832881140546264,0.012790161186798113
1.0,MMF2,10,0.0030077549430029306,0.009146566448680343
1.0,MMF2,17,0.002754032219103012,0.006366966250664245
1.0,MMF2,12,0.003075631543412219,0.007252806786114867
1.0,MMF2,9,0.002986556850611331,0.013418374344900265
1.0,MMF2,14,0.0029733836395458547,0.007137770757148599
1.0,MMF2,15,0.0028155871734851794,0.009037365243595186
1.0,MMF2,13,0.0030434322223940853,0.006445739412840137
1.0,MMF2,16,0.0029791493341021235,0.006982389612154957
1.0,MMF2,18,0.0030439841444655762,0.010095416319148943
1.0,MMF2,19,0.0029433931119639957,0.00997523436602276
1.0,MMF2,20,0.003175736040282802,0.007372665581045182
1.0,MMF2,21,0.002871538292539369,0.017208628461210893
1.0,MMF2,22,0.0030482278878674646,0.011996324630455546
1.0,MMF2,26,0.0029009334536905184,0.007431868520431065
1.0,MMF2,24,0.0029442551614765424,0.006722322354438857
1.0,MMF2,23,0.0031796739667156225,0.006793376366054778
1.0,MMF2,25,0.002872574011907338,0.006747929099464933
1.0,MMF2,29,0.0028921825709929713,0.00797528884442864
1.0,MMF2,28,0.002999507671669817,0.011731878836846515
1.0,MMF5,0,0.0027748167355610845,0.06663060242598111
1.0,MMF2,27,0.0031964217254066025,0.054420372082590436
1.0,MMF5,4,0.0027500990238984386,0.07135115370665349
1.0,MMF5,3,0.00294122326255684,0.07473469962843557
1.0,MMF5,2,0.002615010869994827,0.06915107106807576
1.0,MMF5,1,0.0027609629813286026,0.07077926031095423
1.0,MMF5,5,0.002928274170579515,0.0726400543359867
1.0,MMF5,6,0.0030644850377005302,0.07668438358449073
1.0,MMF5,7,0.0029425319581940132,0.07407734433069518
1.0,MMF5,8,0.00286721209009794,0.07223792236448014
